cep;logradouro;complemento;bairro;localidade;uf;ibge;gia;ddd;siafi
69905-461;Travessa Praça;s/n;Cidade Nova;Rio Branco;AC;1200401;;68;139
69914-548;Travessa Praça;s/n;Ilson Ribeiro;Rio Branco;AC;1200401;;68;139
69900-054;Praça dos Catraeiros;s/n;Centro;Rio Branco;AC;1200401;;68;139
69905-460;Praça Campo do Atlético;s/n;Cidade Nova;Rio Branco;AC;1200401;;68;139
57022-100;Praça Raiol;s/n;Jaraguá;Maceió;AL;2704302;;82;2785
57030-075;Praça do Rex;s/n;Pajuçara;Maceió;AL;2704302;;82;2785
57051-630;Praça Sergipe;s/n;Farol;Maceió;AL;2704302;;82;2785
57030-009;Praça Lions Club;s/n;Pajuçara;Maceió;AL;2704302;;82;2785
57070-120;Praça São José;s/n;Fernão Velho;Maceió;AL;2704302;;82;2785
57035-420;Praça do Turista;s/n;Ponta Verde;Maceió;AL;2704302;;82;2785
57010-295;Praça do Pirulito;de 114 ao fim - lado par;Prado;Maceió;AL;2704302;;82;2785
57020-275;Praça do Pirulito;lado ímpar;Centro;Maceió;AL;2704302;;82;2785
57014-710;Praça Ciro Acyole;s/n;Ponta Grossa;Maceió;AL;2704302;;82;2785
57022-160;Praça Dois Leões;s/n;Jaraguá;Maceió;AL;2704302;;82;2785
57017-022;Praça do Pirulito;até 68 - lado par;Levada;Maceió;AL;2704302;;82;2785
57020-150;Praça dos Palmares;s/n;Centro;Maceió;AL;2704302;;82;2785
57020-420;Praça São Vicente;s/n;Centro;Maceió;AL;2704302;;82;2785
57020-903;Praça dos Palmares;36;Centro;Maceió;AL;2704302;;82;2785
57025-860;Praça da Maravilha;s/n;Poço;Maceió;AL;2704302;;82;2785
57020-130;Praça Dom Pedro II;s/n;Centro;Maceió;AL;2704302;;82;2785
57020-900;Praça Dom Pedro II;s/n;Centro;Maceió;AL;2704302;;82;2785
57010-020;Praça da Faculdade;s/n;Prado;Maceió;AL;2704302;;82;2785
57025-420;Praça Treze de Maio;s/n;Poço;Maceió;AL;2704302;;82;2785
57030-105;Praça Manoel Duarte;s/n;Pajuçara;Maceió;AL;2704302;;82;2785
57010-373;Praça Pingo D'Água;s/n;Trapiche da Barra;Maceió;AL;2704302;;82;2785
57017-065;Praça Santo Antônio;s/n;Levada;Maceió;AL;2704302;;82;2785
57051-140;Praça do Centenário;s/n;Farol;Maceió;AL;2704302;;82;2785
57014-320;Praça Guedes Miranda;s/n;Ponta Grossa;Maceió;AL;2704302;;82;2785
57037-335;Praça Cipriano Jucá;s/n;Mangabeiras;Maceió;AL;2704302;;82;2785
57070-050;Praça Eduardo Santos;s/n;Fernão Velho;Maceió;AL;2704302;;82;2785
57037-350;Praça Aloísio Branco;s/n;Mangabeiras;Maceió;AL;2704302;;82;2785
57025-568;Praça Unidos do Poço;s/n;Poço;Maceió;AL;2704302;;82;2785
57010-870;Praça São Sebastião;s/n;Pontal da Barra;Maceió;AL;2704302;;82;2785
57035-070;Praça Emílio de Maia;s/n;Ponta Verde;Maceió;AL;2704302;;82;2785
57020-919;Praça Marechal Deodoro;319;Centro;Maceió;AL;2704302;;82;2785
57070-570;Praça Leonildo Cardoso;s/n;Rio Novo;Maceió;AL;2704302;;82;2785
57017-085;Praça Carlos Paurílio;s/n;Levada;Maceió;AL;2704302;;82;2785
57020-040;Praça Marechal Deodoro;s/n;Centro;Maceió;AL;2704302;;82;2785
57020-921;Praça Marechal Deodoro;s/n;Centro;Maceió;AL;2704302;;82;2785
57020-410;Praça da Independência;s/n;Centro;Maceió;AL;2704302;;82;2785
57014-330;Praça Moleque Namorador;s/n;Ponta Grossa;Maceió;AL;2704302;;82;2785
57010-110;Praça Custódio de Melo;s/n;Prado;Maceió;AL;2704302;;82;2785
57025-480;Praça Guimarães Passos;s/n;Poço;Maceió;AL;2704302;;82;2785
57020-720;Praça Visconde de Sinimbú;s/n;Centro;Maceió;AL;2704302;;82;2785
57020-918;Praça Visconde de Sinimbú;s/n;Centro;Maceió;AL;2704302;;82;2785
57022-170;Praça Dezoito de Copacabana;s/n;Jaraguá;Maceió;AL;2704302;;82;2785
57020-350;Praça Montepio dos Artistas;s/n;Centro;Maceió;AL;2704302;;82;2785
57022-193;Praça Doutor Homero Galvão;s/n;Jaraguá;Maceió;AL;2704302;;82;2785
57052-320;Praça Osório Calheiros Gato;s/n;Pitanguinha;Maceió;AL;2704302;;82;2785
57055-565;Praça Senador Arnon de Mello;s/n;Pinheiro;Maceió;AL;2704302;;82;2785
57014-300;Praça Doutor Getúlio Vargas;s/n;Ponta Grossa;Maceió;AL;2704302;;82;2785
57010-830;Praça Doutor Caio Aguiar Porto;s/n;Pontal da Barra;Maceió;AL;2704302;;82;2785
57020-090;Praça Marechal Floriano Peixoto;s/n;Centro;Maceió;AL;2704302;;82;2785
57039-250;Praça José Emídio de Carvalho;s/n;Riacho Doce;Maceió;AL;2704302;;82;2785
68908-114;Praça Chico Noé;s/n;Jesus de Nazaré;Macapá;AP;1600303;;96;605
68900-102;Praça da Bandeira;s/n;Central;Macapá;AP;1600303;;96;605
68900-810;Praça Veiga Cabral;s/n;Central;Macapá;AP;1600303;;96;605
68900-800;Praça Isaac Zagury;s/n;Central;Macapá;AP;1600303;;96;605
68900-840;Praça Floriano Peixoto;s/n;Central;Macapá;AP;1600303;;96;605
68900-453;Praça Barão do Rio Branco;s/n;Central;Macapá;AP;1600303;;96;605
68901-045;Praça Nossa Senhora da Conceição;s/n;Trem;Macapá;AP;1600303;;96;605
69057-280;Praça Chile;s/n;Adrianópolis;Manaus;AM;1302603;;92;255
69079-490;Praça Coari;s/n;São Francisco;Manaus;AM;1302603;;92;255
69035-254;Praça Vitória;s/n;Compensa;Manaus;AM;1302603;;92;255
69070-751;Praça Tiradente;s/n;Colônia Oliveira Machado;Manaus;AM;1302603;;92;255
69010-190;Praça Dom Bosco;s/n;Centro;Manaus;AM;1302603;;92;255
69027-071;Praça Rego Barros;s/n;São Raimundo;Manaus;AM;1302603;;92;255
69005-320;Praça Dom Pedro II;s/n;Centro;Manaus;AM;1302603;;92;255
69005-390;Praça Osvaldo Cruz;s/n;Centro;Manaus;AM;1302603;;92;255
69008-440;Praça do Congresso;s/n;Colônia Antônio Aleixo;Manaus;AM;1302603;;92;255
69005-450;Praça dos Remédios;s/n;Centro;Manaus;AM;1302603;;92;255
69020-550;Praça Santos Dumont;s/n;Praça 14 de Janeiro;Manaus;AM;1302603;;92;255
69027-320;Praça Ismael Benigno;(Igreja, da);São Raimundo;Manaus;AM;1302603;;92;255
69005-230;Praça Ribeiro Júnior;s/n;Centro;Manaus;AM;1302603;;92;255
69005-260;Praça Heliodoro Balbi;s/n;Centro;Manaus;AM;1302603;;92;255
69010-240;Praça São Sebastião;s/n;Centro;Manaus;AM;1302603;;92;255
69005-280;Praça Tenreiro Aranha;s/n;Centro;Manaus;AM;1302603;;92;255
69005-203;Praça Waldemar Pedrosa;s/n;Centro;Manaus;AM;1302603;;92;255
69065-031;Praça Benjamin Constant;s/n;Cachoeirinha;Manaus;AM;1302603;;92;255
69027-380;Praça Antônio Bittencourt;s/n;Glória;Manaus;AM;1302603;;92;255
69057-450;Praça Nossa Senhora de Nazaré;s/n;Adrianópolis;Manaus;AM;1302603;;92;255
69025-090;Praça Nossa Senhora Auxiliadora;s/n;Centro;Manaus;AM;1302603;;92;255
69073-270;Praça Francisco Pereira da Silva;s/n;Crespo;Manaus;AM;1302603;;92;255
69075-007;Praça Francisco Pereira da Silva;s/n;Distrito Industrial I;Manaus;AM;1302603;;92;255
40450-415;Praça Açu;s/n;Uruguai;Salvador;BA;2927408;;71;3849
41740-740;Praça Igor;s/n;Pituaçu;Salvador;BA;2927408;;71;3849
40430-690;Praça Igaci;s/n;Vila Ruy Barbosa;Salvador;BA;2927408;;71;3849
41830-080;Praça da Luz;s/n;Pituba;Salvador;BA;2927408;;71;3849
41211-265;Rua da Praça;s/n;Arenoso;Salvador;BA;2927408;;71;3849
41510-005;Praça Rotary;s/n;São Cristóvão;Salvador;BA;2927408;;71;3849
40470-392;Praça Joanes;s/n;Lobato;Salvador;BA;2927408;;71;3849
41651-085;Praça do Sol;s/n;Piatã;Salvador;BA;2927408;;71;3849
41227-060;Praça da Luz;s/n;Calabetão;Salvador;BA;2927408;;71;3849
41830-060;Praça Brasil;s/n;Pituba;Salvador;BA;2927408;;71;3849
40415-455;Praça Divina;s/n;Bonfim;Salvador;BA;2927408;;71;3849
41213-440;Praça da Paz;s/n;Sussuarana;Salvador;BA;2927408;;71;3849
40430-035;Praça da Paz;s/n;Vila Ruy Barbosa;Salvador;BA;2927408;;71;3849
40026-080;Praça da Sé;s/n;Centro Histórico;Salvador;BA;2927408;;71;3849
41940-396;Praça Colombo;s/n;Rio Vermelho;Salvador;BA;2927408;;71;3849
41810-225;Praça Marconi;s/n;Pituba;Salvador;BA;2927408;;71;3849
40470-388;Praça Gramado;s/n;Lobato;Salvador;BA;2927408;;71;3849
40750-226;Praça Cabocla;s/n;Coutos;Salvador;BA;2927408;;71;3849
42500-064;Beco da Praça;s/n;Santana (Ilha de Maré);Salvador;BA;2927408;;71;3849
41306-697;Praça Itaúna;s/n;Moradas da Lagoa;Salvador;BA;2927408;;71;3849
40390-730;Praça da Cobal;s/n;São Caetano;Salvador;BA;2927408;;71;3849
41810-790;Praça Aquarius;s/n;Pituba;Salvador;BA;2927408;;71;3849
40150-066;Praça Paterson;s/n;Graça;Salvador;BA;2927408;;71;3849
40470-188;Praça Guaporé;s/n;Lobato;Salvador;BA;2927408;;71;3849
40342-045;Praça do Horto;(S Martin);Santa Mônica;Salvador;BA;2927408;;71;3849
40434-610;Praça Ibiporã;s/n;Massaranduba;Salvador;BA;2927408;;71;3849
40301-125;Praça Pedreira;s/n;Barbalho;Salvador;BA;2927408;;71;3849
41235-420;Praça do Campo;s/n;Pau da Lima;Salvador;BA;2927408;;71;3849
41320-440;Praça Quadra 3;s/n;Castelo Branco;Salvador;BA;2927408;;71;3849
41205-250;Praça Arvoredo;(Cj Hab Barreiras);Tancredo Neves;Salvador;BA;2927408;;71;3849
41601-040;Praça Bertioga;(Pr Flamengo);Stella Maris;Salvador;BA;2927408;;71;3849
40715-358;Praça Rio Sena;s/n;Rio Sena;Salvador;BA;2927408;;71;3849
40301-000;Praça Barbalho;s/n;Barbalho;Salvador;BA;2927408;;71;3849
40820-135;Praça Iriguaçu;s/n;Paripe;Salvador;BA;2927408;;71;3849
41320-820;Praça Quadra 12;(3ª Etapa-Setor 1);Castelo Branco;Salvador;BA;2927408;;71;3849
41510-100;Praça da Matriz;s/n;São Cristóvão;Salvador;BA;2927408;;71;3849
40710-530;Praça São Braz;s/n;Plataforma;Salvador;BA;2927408;;71;3849
41306-880;Praça Esplanada;s/n;Moradas da Lagoa;Salvador;BA;2927408;;71;3849
41270-740;Praça São Braz;s/n;Campinas de Pirajá;Salvador;BA;2927408;;71;3849
41320-833;Praça Quadra 14;(3ª Etapa-St 2);Castelo Branco;Salvador;BA;2927408;;71;3849
41500-211;Praça Dom Lucas;(Lot Vle Dunas);São Cristóvão;Salvador;BA;2927408;;71;3849
40015-420;Praça Riachuelo;s/n;Comércio;Salvador;BA;2927408;;71;3849
40433-760;Praça Mangueira;s/n;Massaranduba;Salvador;BA;2927408;;71;3849
41218-112;Praça Santa Fé;s/n;Novo Horizonte;Salvador;BA;2927408;;71;3849
40414-000;Praça das APA's;s/n;Boa Viagem;Salvador;BA;2927408;;71;3849
40470-210;Praça do Lobato;s/n;Lobato;Salvador;BA;2927408;;71;3849
41235-426;Praça São José;s/n;Pau da Lima;Salvador;BA;2927408;;71;3849
40230-795;Praça Pulchéria;s/n;Federação;Salvador;BA;2927408;;71;3849
40450-385;Praça do Uruguai;s/n;Uruguai;Salvador;BA;2927408;;71;3849
41213-460;Praça San Martin;s/n;Sussuarana;Salvador;BA;2927408;;71;3849
60534-550;Praça Dez;s/n;Genibaú;Fortaleza;CE;2304400;;85;1389
60862-770;Praça Remo;s/n;Barroso;Fortaleza;CE;2304400;;85;1389
60040-650;Praça Pio IX;s/n;Fátima;Fortaleza;CE;2304400;;85;1389
60441-090;Praça Brasil;s/n;Panamericano;Fortaleza;CE;2304400;;85;1389
60055-150;Praça da Sé;s/n;Centro;Fortaleza;CE;2304400;;85;1389
60820-750;Rua da Praça;(Cj Gov Tasso Jereissati);Jardim das Oliveiras;Fortaleza;CE;2304400;;85;1389
60332-190;Vila do Praça;s/n;Barra do Ceará;Fortaleza;CE;2304400;;85;1389
60170-010;Praça Portugal;s/n;Aldeota;Fortaleza;CE;2304400;;85;1389
60025-180;Praça do Carmo;s/n;Centro;Fortaleza;CE;2304400;;85;1389
60713-340;Praça Amazonas;s/n;Manoel Sátiro;Fortaleza;CE;2304400;;85;1389
60361-120;Praça Ipiranga;s/n;Antônio Bezerra;Fortaleza;CE;2304400;;85;1389
60040-640;Praça Morais Ne;s/n;José Bonifácio;Fortaleza;CE;2304400;;85;1389
60135-660;Praça da Piedade;s/n;Joaquim Távora;Fortaleza;CE;2304400;;85;1389
60131-180;Praça São Lucas;s/n;Joaquim Távora;Fortaleza;CE;2304400;;85;1389
60416-370;Praça de Nazaré;s/n;Bom Futuro;Fortaleza;CE;2304400;;85;1389
60832-450;Praça São Roque;s/n;Lagoa Redonda;Fortaleza;CE;2304400;;85;1389
60510-280;Praça Afonso Pena;s/n;Henrique Jorge;Fortaleza;CE;2304400;;85;1389
60330-012;Praça Nova Lisboa;s/n;Barra do Ceará;Fortaleza;CE;2304400;;85;1389
60181-390;Praça da Vitória;s/n;Vicente Pinzon;Fortaleza;CE;2304400;;85;1389
60150-320;Praça da Bandeira;s/n;Centro;Fortaleza;CE;2304400;;85;1389
60025-230;Praça do Ferreira;s/n;Centro;Fortaleza;CE;2304400;;85;1389
60751-170;Praça Guadalajara;s/n;Prefeito José Walter;Fortaleza;CE;2304400;;85;1389
60420-175;Praça Jorge Vieira;s/n;Vila União;Fortaleza;CE;2304400;;85;1389
60184-190;Praça Simão Pedro;s/n;Vicente Pinzon;Fortaleza;CE;2304400;;85;1389
60455-517;Praça Santo Afonso;s/n;Amadeu Furtado;Fortaleza;CE;2304400;;85;1389
60035-230;Praça Paula Pessoa;s/n;Centro;Fortaleza;CE;2304400;;85;1389
60410-103;Praça da Aparecida;s/n;Montese;Fortaleza;CE;2304400;;85;1389
60713-361;Praça da Estação;s/n;Manoel Sátiro;Fortaleza;CE;2304400;;85;1389
60714-630;Praça da Mangueira;s/n;Rachel de Queiroz;Fortaleza;CE;2304400;;85;1389
60135-600;Praça João Dummar;s/n;Dionisio Torres;Fortaleza;CE;2304400;;85;1389
60011-280;Praça Farias Brito;s/n;Farias Brito;Fortaleza;CE;2304400;;85;1389
60350-310;Praça José Acioly;s/n;Antônio Bezerra;Fortaleza;CE;2304400;;85;1389
60337-210;Praça Major Wilson;s/n;Cristo Redentor;Fortaleza;CE;2304400;;85;1389
60030-240;Praça dos Martires;s/n;Centro;Fortaleza;CE;2304400;;85;1389
60360-808;Praça José Leitão;s/n;Antônio Bezerra;Fortaleza;CE;2304400;;85;1389
60110-160;Praça das Graviolas;s/n;Centro;Fortaleza;CE;2304400;;85;1389
60440-720;Praça da República;s/n;Pici;Fortaleza;CE;2304400;;85;1389
60165-440;Praça da Confiança;s/n;Mucuripe;Fortaleza;CE;2304400;;85;1389
60176-220;Praça dos Coqueiros;s/n;Mucuripe;Fortaleza;CE;2304400;;85;1389
60751-190;Praça Odilon Matias;s/n;Prefeito José Walter;Fortaleza;CE;2304400;;85;1389
60337-200;Praça Doutor Amauri;s/n;Cristo Redentor;Fortaleza;CE;2304400;;85;1389
60332-220;Praça Augusto Renê;s/n;Barra do Ceará;Fortaleza;CE;2304400;;85;1389
60425-740;Praça Fausto Arruda;s/n;Montese;Fortaleza;CE;2304400;;85;1389
60183-470;Praça São Francisco;s/n;Vicente Pinzon;Fortaleza;CE;2304400;;85;1389
60176-380;Praça Olímpio Meira;s/n;Mucuripe;Fortaleza;CE;2304400;;85;1389
60060-142;Praça Treze de Abril;s/n;Centro;Fortaleza;CE;2304400;;85;1389
60050-250;Praça dos Motoristas;s/n;Fátima;Fortaleza;CE;2304400;;85;1389
60425-730;Praça Artur Bernardes;s/n;Montese;Fortaleza;CE;2304400;;85;1389
60010-122;Praça Araripe Júnior;s/n;Moura Brasil;Fortaleza;CE;2304400;;85;1389
60442-632;Praça Maciel de Brito;s/n;Bela Vista;Fortaleza;CE;2304400;;85;1389
70804-025;Praça A;(Acamp Rabelo);Vila Planalto;Brasília;DF;5300108;;61;9701
72405-015;Praça 1;s/n;Setor Central (Gama);Brasília;DF;5300108;;61;9701
72405-025;Praça 2;s/n;Setor Central (Gama);Brasília;DF;5300108;;61;9701
72460-110;Praça 2;s/n;Setor Leste (Gama);Brasília;DF;5300108;;61;9701
72460-100;Praça 1;s/n;Setor Leste (Gama);Brasília;DF;5300108;;61;9701
72460-120;Praça 3;s/n;Setor Leste (Gama);Brasília;DF;5300108;;61;9701
70802-070;Rua da Praça;(Acamp Rabelo);Vila Planalto;Brasília;DF;5300108;;61;9701
70802-140;Praça Rabelo;(Acamp Rabelo);Vila Planalto;Brasília;DF;5300108;;61;9701
71570-900;Praça Central;s/n;Paranoá;Brasília;DF;5300108;;61;9701
71570-901;Praça Central;s/n;Paranoá;Brasília;DF;5300108;;61;9701
71705-500;Praça Central;s/n;Núcleo Bandeirante;Brasília;DF;5300108;;61;9701
72760-168;Praça Central;s/n;Incra 8 (Brazlândia);Brasília;DF;5300108;;61;9701
71570-050;Praça Central;s/n;Paranoá;Brasília;DF;5300108;;61;9701
71968-725;QS 7 Praça AC;s/n;Areal (Águas Claras);Brasília;DF;5300108;;61;9701
72705-700;Praça do Laço;s/n;Setor Norte (Brazlândia);Brasília;DF;5300108;;61;9701
71967-180;QS 7 Praça 200;s/n;Areal (Águas Claras);Brasília;DF;5300108;;61;9701
72110-027;CNA 2 Praça DI;s/n;Taguatinga Norte (Taguatinga);Brasília;DF;5300108;;61;9701
71970-370;QS 7 Praça 600;s/n;Areal (Águas Claras);Brasília;DF;5300108;;61;9701
71962-720;Praça 100 QS 05;s/n;Areal (Águas Claras);Brasília;DF;5300108;;61;9701
71731-150;Praça da Igreja;s/n;Metropolitana (Núcleo Bandeirante);Brasília;DF;5300108;;61;9701
71960-720;Praça 400 QS 05;s/n;Areal (Águas Claras);Brasília;DF;5300108;;61;9701
71972-000;Praça 810 QS 07;s/n;Areal (Águas Claras);Brasília;DF;5300108;;61;9701
72415-139;Praça 2 Bloco D;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
70075-901;Praça do Buriti;s/n;Zona Cívico-Administrativa;Brasília;DF;5300108;;61;9701
72410-239;Praça 3 Bloco D;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72410-140;Praça 1 Bloco A;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72415-239;Praça 4 Bloco D;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
71969-000;Praça 400 QS 07;s/n;Areal (Águas Claras);Brasília;DF;5300108;;61;9701
70803-010;Praça da Igreja;(Acamp DFL);Vila Planalto;Brasília;DF;5300108;;61;9701
72415-130;Praça 2 Bloco A;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72410-230;Praça 3 Bloco A;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72425-143;Praça 1 Lote 01;s/n;Setor Oeste (Gama);Brasília;DF;5300108;;61;9701
72415-230;Praça 4 Bloco A;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72410-143;Praça 1 Bloco B;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
70070-550;Praça Municipal;s/n;Zona Cívico-Administrativa;Brasília;DF;5300108;;61;9701
72415-133;Praça 2 Bloco B;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
70070-500;Praça do Buriti;s/n;Zona Cívico-Administrativa;Brasília;DF;5300108;;61;9701
72410-233;Praça 3 Bloco B;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72425-145;Praça 1 Lote 02;s/n;Setor Oeste (Gama);Brasília;DF;5300108;;61;9701
72415-233;Praça 4 Bloco B;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72410-146;Praça 1 Bloco C;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72415-136;Praça 2 Bloco C;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
70075-900;Praça do Buriti;s/n;Zona Cívico-Administrativa;Brasília;DF;5300108;;61;9701
72410-236;Praça 3 Bloco C;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72425-147;Praça 1 Lote 03;s/n;Setor Oeste (Gama);Brasília;DF;5300108;;61;9701
72415-236;Praça 4 Bloco C;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72410-149;Praça 1 Bloco D;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72604-127;Quadra 118 Praça;s/n;Recanto das Emas;Brasília;DF;5300108;;61;9701
72415-116;Praça 2 AE SENAI;s/n;Setor Sul (Gama);Brasília;DF;5300108;;61;9701
72604-039;Quadra 117 Praça;s/n;Recanto das Emas;Brasília;DF;5300108;;61;9701
29055-200;Praça Rotary;s/n;Praia do Canto;Vitória;ES;3205309;;27;5705
29055-730;Praça do Iate;s/n;Praia do Canto;Vitória;ES;3205309;;27;5705
29010-912;Praça Pio XII;30;Centro;Vitória;ES;3205309;;27;5705
29055-160;Praça Mulemba;s/n;Praia do Canto;Vitória;ES;3205309;;27;5705
29010-340;Praça Pio XII;s/n;Centro;Vitória;ES;3205309;;27;5705
29048-507;Praça dos Anjos;s/n;São Cristóvão;Vitória;ES;3205309;;27;5705
29056-095;Praça San Martin;s/n;Santa Lúcia;Vitória;ES;3205309;;27;5705
29075-095;Praça Luiz Alves;s/n;Goiabeiras;Vitória;ES;3205309;;27;5705
29055-400;Praça Finlândia;s/n;Praia do Canto;Vitória;ES;3205309;;27;5705
29055-170;Praça San Martin;s/n;Praia do Canto;Vitória;ES;3205309;;27;5705
29026-070;Praça da Bandeira;s/n;Santo Antônio;Vitória;ES;3205309;;27;5705
29065-460;Praça Jacob Suaid;s/n;Mata da Praia;Vitória;ES;3205309;;27;5705
29018-300;Praça Misael Pena;s/n;Parque Moscoso;Vitória;ES;3205309;;27;5705
29010-690;Praça do Chafariz;s/n;Centro;Vitória;ES;3205309;;27;5705
29075-115;Praça da Família;s/n;Goiabeiras;Vitória;ES;3205309;;27;5705
29072-027;Praça Solon Borges;s/n;Solon Borges;Vitória;ES;3205309;;27;5705
29051-170;Praça Primo Pretti;s/n;Ilha de Santa Maria;Vitória;ES;3205309;;27;5705
29027-043;Praça Ely de Souza;s/n;Ariovaldo Favalessa;Vitória;ES;3205309;;27;5705
29065-800;Praça Steid Schwan;s/n;Mata da Praia;Vitória;ES;3205309;;27;5705
29043-515;Praça Mário Tozzi;s/n;Tabuazeiro;Vitória;ES;3205309;;27;5705
29065-075;Praça Werner Braun;s/n;Mata da Praia;Vitória;ES;3205309;;27;5705
29047-863;Praça São Benedito;s/n;São Benedito;Vitória;ES;3205309;;27;5705
29018-665;Praça Adélia Buaiz;s/n;Santa Clara;Vitória;ES;3205309;;27;5705
29055-500;Praça dos Namorados;s/n;Praia do Canto;Vitória;ES;3205309;;27;5705
29043-010;Praça Vicente Guida;s/n;Maruípe;Vitória;ES;3205309;;27;5705
29026-092;Praça Manoel Rangel;s/n;Santo Antônio;Vitória;ES;3205309;;27;5705
29010-080;Praça Costa Pereira;s/n;Centro;Vitória;ES;3205309;;27;5705
29010-918;Praça Costa Pereira;52;Centro;Vitória;ES;3205309;;27;5705
29056-130;Praça Carlos Crepaz;s/n;Santa Lúcia;Vitória;ES;3205309;;27;5705
29072-005;Praça Odilon Grijó;s/n;Solon Borges;Vitória;ES;3205309;;27;5705
29010-610;Praça Pedro Caetano;s/n;Centro;Vitória;ES;3205309;;27;5705
29065-790;Praça Bruno Rezende;s/n;Mata da Praia;Vitória;ES;3205309;;27;5705
29065-780;Praça Wilson Soares;s/n;Mata da Praia;Vitória;ES;3205309;;27;5705
29051-060;Praça Graciano Dias;s/n;Ilha de Santa Maria;Vitória;ES;3205309;;27;5705
29045-483;Praça Nelson Rangel;s/n;Consolação;Vitória;ES;3205309;;27;5705
29042-800;Praça Altemar Dutra;s/n;de Lourdes;Vitória;ES;3205309;;27;5705
29056-042;Praça Alice Quintela;s/n;Santa Lúcia;Vitória;ES;3205309;;27;5705
29051-156;Praça Oscar Loureiro;s/n;Ilha de Santa Maria;Vitória;ES;3205309;;27;5705
29015-110;Praça João Clímaco;s/n;Centro;Vitória;ES;3205309;;27;5705
29065-270;Praça Marien Calixte;s/n;Mata da Praia;Vitória;ES;3205309;;27;5705
29026-135;Praça Manoel Pereira;s/n;Santo Antônio;Vitória;ES;3205309;;27;5705
29046-577;Praça Álvaro Amorim;s/n;Santa Martha;Vitória;ES;3205309;;27;5705
29015-901;Praça João Clímaco;10;Centro;Vitória;ES;3205309;;27;5705
29026-082;Praça Estela Coimbra;s/n;Santo Antônio;Vitória;ES;3205309;;27;5705
29060-430;Praça Antônio Stiba;s/n;Jardim da Penha;Vitória;ES;3205309;;27;5705
29065-770;Praça Oreste Volponi;s/n;Mata da Praia;Vitória;ES;3205309;;27;5705
29027-110;Praça Doutor Athayde;s/n;do Quadro;Vitória;ES;3205309;;27;5705
29060-840;Praça Wolghano Netto;s/n;Jardim da Penha;Vitória;ES;3205309;;27;5705
29065-760;Praça Belino Marchezi;s/n;Mata da Praia;Vitória;ES;3205309;;27;5705
29040-720;Praça Asdrubal Soares;s/n;Jucutuquara;Vitória;ES;3205309;;27;5705
74810-060;Praça G;s/n;Jardim Goiás;Goiânia;GO;5208707;;62;9373
74533-280;Praça C;s/n;Setor Coimbra;Goiânia;GO;5208707;;62;9373
74363-180;Praça D;s/n;Conjunto Cachoeira Dourada;Goiânia;GO;5208707;;62;9373
74870-010;Praça A;s/n;Conjunto Fabiana;Goiânia;GO;5208707;;62;9373
74210-081;Praça C;s/n;Setor Bueno;Goiânia;GO;5208707;;62;9373
74415-070;Praça C;s/n;Vila Nova Canaã;Goiânia;GO;5208707;;62;9373
74455-525;Praça 7;s/n;Residencial Cidade Verde;Goiânia;GO;5208707;;62;9373
74805-030;Praça B;s/n;Jardim Goiás;Goiânia;GO;5208707;;62;9373
74363-170;Praça A;s/n;Conjunto Cachoeira Dourada;Goiânia;GO;5208707;;62;9373
74363-210;Praça E;s/n;Conjunto Cachoeira Dourada;Goiânia;GO;5208707;;62;9373
74870-070;Praça B;s/n;Conjunto Fabiana;Goiânia;GO;5208707;;62;9373
74685-800;Praça A;s/n;Vila Jardim São Judas Tadeu;Goiânia;GO;5208707;;62;9373
74354-649;Praça A;s/n;Jardim Caravelas 1ª Etapa;Goiânia;GO;5208707;;62;9373
74805-060;Praça C;s/n;Jardim Goiás;Goiânia;GO;5208707;;62;9373
74363-030;Praça B;s/n;Conjunto Cachoeira Dourada;Goiânia;GO;5208707;;62;9373
74363-220;Praça F;s/n;Conjunto Cachoeira Dourada;Goiânia;GO;5208707;;62;9373
74870-080;Praça C;s/n;Conjunto Fabiana;Goiânia;GO;5208707;;62;9373
74415-040;Praça A;s/n;Vila Nova Canaã;Goiânia;GO;5208707;;62;9373
74845-150;Praça A;s/n;Vila Redenção;Goiânia;GO;5208707;;62;9373
74685-120;Praça C;s/n;Vila Jardim São Judas Tadeu;Goiânia;GO;5208707;;62;9373
74805-080;Praça D;s/n;Jardim Goiás;Goiânia;GO;5208707;;62;9373
